
[01/16/22 13:27:23] Perseu -> item
[02/12/22 17:10:32] Darkinho -> pokemon
[02/15/22 21:03:49] Kani -> pokemon
[02/15/22 21:03:56] Kani -> pokemon
[02/15/22 21:04:00] Kani -> pokemon
[03/16/22 21:56:29] Kani -> item
[03/16/22 22:33:14] Seja Homi -> item
[03/16/22 22:37:25] Black Cat -> item
[03/31/22 13:27:58] Tchee -> item
[04/24/22 21:54:51] Seja Homi -> item
[04/24/22 21:54:56] Seja Homi -> item
[04/24/22 21:54:57] Seja Homi -> item
[04/24/22 21:54:59] Seja Homi -> item
[04/24/22 21:55:00] Seja Homi -> item
[04/24/22 21:55:09] Seja Homi -> item
[04/24/22 21:55:13] Seja Homi -> item
[04/24/22 21:55:15] Seja Homi -> item
[04/24/22 21:55:53] Seja Homi -> pokemon
[04/24/22 21:55:57] Seja Homi -> item
[04/24/22 21:55:59] Seja Homi -> item
[04/24/22 21:56:05] Seja Homi -> item
[04/24/22 21:56:08] Seja Homi -> item
[04/24/22 21:56:21] Seja Homi -> item
[04/26/22 00:31:52] Seja Homi -> item
[04/26/22 00:31:56] Seja Homi -> item
